Date,Open,High,Low,Close,Adj Close,Volume
2002-01-14,10.150000,10.350000,10.150000,10.300000,7.528677,8600
2002-01-15,10.300000,10.300000,10.200000,10.250000,7.492130,5360
2002-01-16,10.300000,10.350000,10.200000,10.350000,7.565224,1190
2002-01-17,10.250000,10.400000,10.150000,10.200000,7.455584,6165
2002-01-18,10.500000,10.500000,10.050000,10.350000,7.565224,9861
2002-01-21,10.500000,10.500000,10.200000,10.400000,7.601768,7250
2002-01-22,10.400000,10.800000,10.250000,10.300000,7.528677,10561
2002-01-23,10.550000,10.700000,10.400000,10.550000,7.711411,5550
2002-01-24,10.850000,10.850000,10.400000,10.400000,7.601768,2735
2002-01-25,10.350000,10.600000,10.250000,10.400000,7.601768,3450
2002-01-28,10.350000,10.500000,10.350000,10.450000,7.638317,5950
2002-01-29,10.400000,10.550000,10.350000,10.350000,7.565224,3522
2002-01-30,10.400000,10.550000,10.300000,10.400000,7.601768,5450
2002-01-31,10.500000,10.550000,10.450000,10.500000,7.674863,5160
2002-02-01,10.450000,10.750000,10.400000,10.600000,7.747960,16698
2002-02-04,10.550000,11.200000,10.450000,11.150000,8.149974,23588
2002-02-05,11.450000,11.500000,11.250000,11.250000,8.223070,11700
2002-02-06,11.350000,12.450000,11.250000,12.350000,9.027102,37170
2002-02-07,12.700000,13.000000,12.100000,12.150000,8.880915,21232
2002-02-08,12.200000,12.400000,12.100000,12.300000,8.990557,28479
2002-02-11,13.000000,13.150000,12.400000,12.950000,9.465666,26277
2002-02-12,13.200000,13.400000,12.600000,12.600000,9.209838,18700
2002-02-13,12.850000,12.850000,12.400000,12.600000,9.209838,8720
2002-02-14,12.300000,12.900000,12.250000,12.800000,9.356027,9436
2002-02-15,12.900000,14.500000,12.900000,14.150000,10.342793,79579
2002-02-18,16.500000,16.549999,14.650000,16.400000,11.987410,115185
2002-02-19,16.950001,17.500000,15.000000,15.050000,11.000637,90247
2002-02-20,14.900000,15.000000,14.350000,14.600000,10.671715,27980
2002-02-21,15.000000,15.250000,14.450000,14.750000,10.781357,30965
2002-02-22,15.000000,16.500000,14.500000,15.950000,11.658485,76660
2002-02-25,15.500000,16.750000,15.500000,16.299999,11.914313,44186
2002-02-26,16.500000,17.299999,16.450001,16.549999,12.097049,65605
2002-02-27,17.000000,17.299999,15.800000,16.250000,11.877766,35701
2002-02-28,16.150000,17.450001,14.000000,14.200000,10.379339,120647
2002-03-01,14.550000,15.300000,14.400000,15.250000,11.146826,11719
2002-03-04,15.100000,15.500000,14.850000,15.100000,11.037186,12111
2002-03-05,14.900000,15.300000,14.800000,14.900000,10.890996,15961
2002-03-06,15.200000,16.850000,15.200000,16.650000,12.170139,93174
2002-03-07,17.000000,18.000000,16.850000,17.049999,12.462518,124319
2002-03-08,17.250000,17.250000,16.150000,16.150000,11.804673,40954
2002-03-11,16.250000,16.450001,15.600000,15.750000,11.512297,32775
2002-03-12,15.600000,15.700000,15.200000,15.200000,11.110278,15575
2002-03-13,15.300000,15.850000,15.300000,15.600000,11.402655,10800
2002-03-14,16.000000,16.000000,15.250000,15.450000,11.293016,23912
2002-03-15,16.150000,17.000000,15.950000,16.650000,12.170139,72630
2002-03-18,17.250000,17.250000,16.400000,16.500000,12.060502,58635
2002-03-19,16.299999,17.000000,16.299999,16.700001,12.206690,25064
2002-03-20,16.700001,16.799999,16.049999,16.100000,11.768126,56728
2002-03-21,16.400000,16.950001,16.400000,16.900000,12.352877,12146
2002-03-22,16.500000,17.200001,16.100000,16.549999,12.097049,559062
2002-03-25,null,null,null,null,null,null
2002-03-26,15.000000,17.650000,15.000000,17.400000,12.718347,2035937
2002-03-27,17.950001,18.000000,16.950001,17.350000,12.681801,1980558
2002-03-28,null,null,null,null,null,null
2002-03-29,null,null,null,null,null,null
2002-04-01,17.900000,17.900000,16.750000,17.150000,12.535609,32839
2002-04-02,16.700001,16.850000,16.250000,16.549999,12.097049,13650
2002-04-03,16.400000,16.500000,15.500000,15.550000,11.366107,15493
2002-04-04,15.800000,15.800000,15.550000,15.550000,11.366107,24289
2002-04-05,15.100000,16.000000,15.000000,15.550000,11.366107,11351
2002-04-08,15.500000,15.850000,15.250000,15.650000,11.439201,10222
2002-04-09,15.500000,15.650000,15.350000,15.350000,11.219921,16138
2002-04-10,15.500000,15.650000,15.250000,15.350000,11.219921,6452
